source_record_id	primary_id_a	primary_id_b	alt_ids_a	alt_ids_b	taxid_a	taxid_b	interaction_type_mi	detection_method_mi	publication_ids	interaction_type_raw	detection_method_raw	expansion_method	source_database	negative	decision	decision_reason
intact:EBI-1027593|rcsb pdb:1B6C	uniprotkb:P36897	uniprotkb:P62942	intact:EBI-1027557|uniprotkb:Q6IR47|uniprotkb:Q706C0|uniprotkb:Q706C1|ensembl:ENSP00000364133.4	intact:EBI-1027571|uniprotkb:P20071|uniprotkb:Q4VC47|uniprotkb:Q6FGD9|uniprotkb:Q6LEU3|uniprotkb:Q9H103|uniprotkb:Q9H566|uniprotkb:D3DVW6|ensembl:ENSP00000371138.3|ensembl:ENSP00000371143.4|ensembl:ENSP00000383003.4|ensembl:ENSP00000503033.1|ensembl:ENSP00000503152.1	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	MI:0407	MI:0114	pubmed:10025408	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0114""(x-ray crystallography)"	-	"psi-mi:""MI:0469""(IntAct)"	false	candidate	auto_direct_candidate
intact:EBI-26876479|imex:IM-28810-11	uniprotkb:Q92796	uniprotkb:Q13224	intact:EBI-80440|uniprotkb:Q9ULI8|uniprotkb:Q5JUW7|uniprotkb:D3DVU5|uniprotkb:B4E0H1|uniprotkb:Q5JUW6|ensembl:ENSP00000363480.3	intact:EBI-2256942|uniprotkb:Q12919|uniprotkb:Q13220|uniprotkb:Q13225|uniprotkb:Q14CU4|uniprotkb:Q9UM56|intact:EBI-28967100|ensembl:ENSP00000477455.1|ensembl:ENSP00000486677.3	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	MI:0407	MI:0107	pubmed:10026200|imex:IM-28810	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0107""(surface plasmon resonance)"	-	"psi-mi:""MI:0469""(IntAct)"	false	candidate	auto_direct_candidate
intact:EBI-297969|rcsb pdb:1b72	uniprotkb:P14653	uniprotkb:P40424	intact:EBI-301331|uniprotkb:Q4VB03|ensembl:ENSP00000355140.5	intact:EBI-301611|uniprotkb:Q5T488|uniprotkb:B4DSC1|uniprotkb:F5H4U9|ensembl:ENSP00000405890.2	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	MI:0407	MI:0114	pubmed:10052460	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0114""(x-ray crystallography)"	-	"psi-mi:""MI:0469""(IntAct)"	false	candidate	auto_direct_candidate
intact:EBI-20717283|wwpdb:1rrp|imex:IM-26762-1	uniprotkb:P62826	uniprotkb:P49792	intact:EBI-286642|uniprotkb:P17080|uniprotkb:P28746|uniprotkb:P28747|uniprotkb:Q6IPB2|uniprotkb:Q86V08|uniprotkb:Q8NI90|uniprotkb:Q9CZA2|uniprotkb:Q9CSP3|uniprotkb:Q9CWI7|ensembl:ENSP00000376176.2|ensembl:ENSP00000446215.1|uniprotkb:Q9UDJ5|uniprotkb:Q9UEU9|uniprotkb:A8K3Z8	intact:EBI-973138|intact:EBI-28970106|uniprotkb:Q13074|uniprotkb:Q15280|uniprotkb:Q53TE2|uniprotkb:Q59FH7|ensembl:ENSP00000283195.6	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	MI:0407	MI:0114	imex:IM-26762|pubmed:10078529	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0114""(x-ray crystallography)"	-	"psi-mi:""MI:0465""(DIP)"	false	candidate	auto_direct_candidate
intact:EBI-8795527|imex:IM-22152-8	uniprotkb:Q99523	uniprotkb:P06858	intact:EBI-1057058|uniprotkb:Q8IZ49|uniprotkb:C0JYZ0|uniprotkb:B4DWI3|ensembl:ENSP00000256637.6	intact:EBI-715909|uniprotkb:Q16282|uniprotkb:Q16283|uniprotkb:Q96FC4|uniprotkb:B2R5T9|ensembl:ENSP00000497642.1	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	MI:0407	MI:0107	pubmed:10085125|imex:IM-22152	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0107""(surface plasmon resonance)"	-	"psi-mi:""MI:1332""(bhf-ucl)"	false	candidate	auto_direct_candidate
intact:EBI-1027706|rcsb pdb:2FAP	uniprotkb:P42345	uniprotkb:P62942	intact:EBI-359260|uniprotkb:Q5TER1|uniprotkb:Q4LE76|uniprotkb:Q6LE87|uniprotkb:Q96QG3|uniprotkb:Q9Y4I3|ensembl:ENSP00000354558.4|ensembl:ENSP00000515200.2|intact:EBI-28989074	intact:EBI-1027571|uniprotkb:P20071|uniprotkb:Q4VC47|uniprotkb:Q6FGD9|uniprotkb:Q6LEU3|uniprotkb:Q9H103|uniprotkb:Q9H566|uniprotkb:D3DVW6|ensembl:ENSP00000371138.3|ensembl:ENSP00000371143.4|ensembl:ENSP00000383003.4|ensembl:ENSP00000503033.1|ensembl:ENSP00000503152.1	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	MI:0407	MI:0114	pubmed:10089303|mint:MINT-5211262	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0114""(x-ray crystallography)"	-	"psi-mi:""MI:0471""(MINT)"	false	candidate	auto_direct_candidate
intact:EBI-6965947|mint:MINT-24872	uniprotkb:Q16254	uniprotkb:Q14188	intact:EBI-448943|uniprotkb:A6NGR8|uniprotkb:Q12991|uniprotkb:Q15328|uniprotkb:B5BU56|ensembl:ENSP00000368686.3	intact:EBI-752268|uniprotkb:Q13331|uniprotkb:Q14187|uniprotkb:Q6R754|uniprotkb:Q8WU88|uniprotkb:F8WAI2|uniprotkb:Q9UG28|uniprotkb:D3DNG1|uniprotkb:B7Z8L5|uniprotkb:B7Z8C8|uniprotkb:E9PFC3|ensembl:ENSP00000420616.1	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	MI:0407	MI:0114	pubmed:10090723|mint:MINT-5211277	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0114""(x-ray crystallography)"	-	"psi-mi:""MI:0471""(MINT)"	false	candidate	auto_direct_candidate
intact:EBI-1027723|rcsb pdb:1IAR	uniprotkb:P05112	uniprotkb:P24394	intact:EBI-367025|uniprotkb:Q14630|uniprotkb:Q6NZ77|ensembl:ENSP00000231449.2	intact:EBI-367009|uniprotkb:Q96P01|uniprotkb:Q9H181|uniprotkb:Q9H182|uniprotkb:Q9H183|uniprotkb:Q9H184|uniprotkb:Q9H185|uniprotkb:Q9H186|uniprotkb:Q9H187|uniprotkb:Q9H188|uniprotkb:B4E076|uniprotkb:B9EKU8|uniprotkb:H3BSY5|ensembl:ENSP00000379111.2|ensembl:ENSP00000441667.2	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	MI:0407	MI:0114	pubmed:10219247|mint:MINT-5211389	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0114""(x-ray crystallography)"	-	"psi-mi:""MI:0471""(MINT)"	false	candidate	auto_direct_candidate
intact:EBI-15488660|imex:IM-24300-1|dip:DIP-11048E	uniprotkb:Q14974-1	uniprotkb:P52292	intact:EBI-15488647|ensembl:ENSP00000290158.3|ensembl:ENSP00000464042.2	intact:EBI-349938|uniprotkb:Q9BRU5|intact:EBI-28977049|uniprotkb:B9EJD6|ensembl:ENSP00000332455.3|ensembl:ENSP00000438483.2|ensembl:ENSP00000462331.2|ensembl:ENSP00000463602.2|ensembl:ENSP00000504655.1|ensembl:ENSP00000504685.1|uniprotkb:Q53YE3|intact:EBI-9377406|uniprotkb:Q6NVW7	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	MI:0407	MI:0114	pubmed:10353244|doi:10.1038/20367|imex:IM-24300	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0114""(x-ray crystallography)"	-	"psi-mi:""MI:0465""(DIP)"	false	candidate	auto_direct_candidate
intact:EBI-1027757|rcsb pdb:1QBK	uniprotkb:P62826	uniprotkb:Q92973	intact:EBI-286642|uniprotkb:P17080|uniprotkb:P28746|uniprotkb:P28747|uniprotkb:Q6IPB2|uniprotkb:Q86V08|uniprotkb:Q8NI90|uniprotkb:Q9CZA2|uniprotkb:Q9CSP3|uniprotkb:Q9CWI7|ensembl:ENSP00000376176.2|ensembl:ENSP00000446215.1|uniprotkb:Q9UDJ5|uniprotkb:Q9UEU9|uniprotkb:A8K3Z8	intact:EBI-286693|intact:EBI-1760498|uniprotkb:Q92957|uniprotkb:Q92975|ensembl:ENSP00000336712.5|intact:EBI-1965561|uniprotkb:B4DVC6|intact:EBI-21356909	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	MI:0407	MI:0114	pubmed:10353245|mint:MINT-5211514	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0114""(x-ray crystallography)"	-	"psi-mi:""MI:0471""(MINT)"	false	candidate	auto_direct_candidate
