source_database	source_version	evidence_role	namespace	raw_identifier	mapping_query_id	isoform_specific	mapping_status	occurrence_count
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000000457	ENSG00000000457	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000000938	ENSG00000000938	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000002330	ENSG00000002330	false	mapping_candidate	6
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000003756	ENSG00000003756	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000004142	ENSG00000004142	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000004534	ENSG00000004534	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000004660	ENSG00000004660	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000004846	ENSG00000004846	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000005801	ENSG00000005801	false	mapping_candidate	1
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000005893	ENSG00000005893	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000006128	ENSG00000006128	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000006534	ENSG00000006534	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000006659	ENSG00000006659	false	mapping_candidate	4
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000008517	ENSG00000008517	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000010319	ENSG00000010319	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000010379	ENSG00000010379	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000019102	ENSG00000019102	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000019169	ENSG00000019169	false	mapping_candidate	6
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000020426	ENSG00000020426	false	mapping_candidate	6
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000026103	ENSG00000026103	false	mapping_candidate	4
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000033011	ENSG00000033011	false	mapping_candidate	1
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000034152	ENSG00000034152	false	mapping_candidate	1
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000035115	ENSG00000035115	false	mapping_candidate	5
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000037474	ENSG00000037474	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000043514	ENSG00000043514	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000048162	ENSG00000048162	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000050327	ENSG00000050327	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000050344	ENSG00000050344	false	mapping_candidate	5
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000052749	ENSG00000052749	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000054116	ENSG00000054116	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000054967	ENSG00000054967	false	mapping_candidate	1
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000055070	ENSG00000055070	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000055208	ENSG00000055208	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000056487	ENSG00000056487	false	mapping_candidate	6
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000057149	ENSG00000057149	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000058404	ENSG00000058404	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000062822	ENSG00000062822	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000064763	ENSG00000064763	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000065328	ENSG00000065328	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000065361	ENSG00000065361	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000065911	ENSG00000065911	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000066117	ENSG00000066117	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000066336	ENSG00000066336	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000066855	ENSG00000066855	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000066923	ENSG00000066923	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000067177	ENSG00000067177	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000067560	ENSG00000067560	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000067606	ENSG00000067606	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000067955	ENSG00000067955	false	mapping_candidate	5
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000068697	ENSG00000068697	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000069206	ENSG00000069206	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000069493	ENSG00000069493	false	mapping_candidate	6
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000069535	ENSG00000069535	false	mapping_candidate	6
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000070882	ENSG00000070882	false	mapping_candidate	2
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000072041	ENSG00000072041	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000073060	ENSG00000073060	false	mapping_candidate	6
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000073578	ENSG00000073578	false	mapping_candidate	3
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000073754	ENSG00000073754	false	mapping_candidate	2
