source_table	source_record_id	orf_id_a	orf_id_b	ensembl_gene_a	ensembl_gene_b	assay	detection_method_mi	publication_id	negative_definition
5	Luck2020-ST5-line:6	210	5174	ENSG00000184500	ENSG00000115694	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:7	3706	4853	ENSG00000002330	ENSG00000156427	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:10	7647	1228	ENSG00000095261	ENSG00000163393	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:12	5290	9706	ENSG00000180198	ENSG00000172578	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:16	644	1149	ENSG00000100605	ENSG00000168917	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:21	8181	6783	ENSG00000115159	ENSG00000215012	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:22	3174	7186	ENSG00000168291	ENSG00000091732	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:25	1265	9428	ENSG00000151834	ENSG00000152229	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:26	2003	6773	ENSG00000157103	ENSG00000169903	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:27	8353	10233	ENSG00000165197	ENSG00000089775	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:28	1816	4519	ENSG00000020426	ENSG00000144591	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:30	6192	647	ENSG00000174808	ENSG00000130723	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:31	3414	4722	ENSG00000108479	ENSG00000078070	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:33	614	8703	ENSG00000104267	ENSG00000105426	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:34	4506	8366	ENSG00000189058	ENSG00000171195	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:37	6794	9620	ENSG00000171631	ENSG00000234127	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:38	7135	7100	ENSG00000099985	ENSG00000229809	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:48	2556	4956	ENSG00000242574	ENSG00000143801	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:52	6007	2388	ENSG00000177697	ENSG00000164253	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:53	3621	7941	ENSG00000110651	ENSG00000119655	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:59	3890	2492	ENSG00000147140	ENSG00000167995	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:71	1290	2139	ENSG00000135447	ENSG00000205593	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:73	5567	858	ENSG00000057149	ENSG00000104671	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:75	3048	10130	ENSG00000160191	ENSG00000139890	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:79	26	10053	ENSG00000099783	ENSG00000121858	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:80	9468	7932	ENSG00000105639	ENSG00000100554	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
5	Luck2020-ST5-line:90	273	5046	ENSG00000100442	ENSG00000124588	Y2H_v1	MI:0018	PMID:32296183	RRS_pair_explicitly_negative_in_Y2H_pairwise_test
