source_table	source_record_id	orf_id_a	orf_id_b	mapping_count_a	mapping_count_b	reason
5	Luck2020-ST5-line:8	10247	2022	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:17	2673	4056	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:18	7938	9994	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:44	2737	4849	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:51	3789	8763	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:55	617	4447	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:57	427	5271	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:58	6150	248	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:81	6014	4758	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:102	4527	8732	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:106	6060	8604	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:121	5545	9673	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:126	56	779	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:130	10082	7886	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:154	3572	1003	1	2	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:159	9314	7272	1	2	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:163	174	472	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:168	4536	1915	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:184	7773	6905	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:186	8732	4527	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:190	8604	6060	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:205	9673	5545	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:214	7886	10082	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:242	10010	8573	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:243	7272	9314	2	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:275	4056	2673	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:276	9994	7938	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:302	4849	2737	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:309	8763	3789	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:313	4447	617	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:315	5271	427	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:339	4758	6014	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:356	10247	2022	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:365	2673	4056	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:366	7938	9994	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:392	2737	4849	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:399	3789	8763	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:403	617	4447	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:405	427	5271	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:406	6150	248	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:429	6014	4758	0	1	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:434	2877	6034	1	0	orf_to_ensembl_not_one_to_one
5	Luck2020-ST5-line:450	4527	8732	0	1	orf_to_ensembl_not_one_to_one
