From	To
ENSG00000000005	Q9H2S6
ENSG00000000419	O60762
ENSG00000000419	A0A804HIB3
ENSG00000000419	A0A804HIK9
ENSG00000000419	A0A804HJ93
ENSG00000000419	A0ACI8Q729
ENSG00000000419	A0ACI8QQQ1
ENSG00000000419	A0ACI8T4X4
ENSG00000000419	A0ACI8T4Z8
ENSG00000000419	A0ACI8T545
ENSG00000000419	A0ACI8VJY3
ENSG00000000419	H0Y368
ENSG00000000419	Q5QPJ9
ENSG00000000419	Q5QPK2
ENSG00000000457	Q8IZE3
ENSG00000000457	A0ACI8RLT7
ENSG00000000457	A0ACI8SG46
ENSG00000000457	A0ACI8VH11
ENSG00000000457	X6RHX1
ENSG00000000460	Q9NSG2
ENSG00000000460	A0A1B0GTJ9
ENSG00000000460	A0A1B0GUP7
ENSG00000000460	A0A1B0GV14
ENSG00000000460	A0ACI8TXJ8
ENSG00000001036	Q9BTY2
ENSG00000001036	A0ACI8PNS5
ENSG00000001036	A0ACI8PR45
ENSG00000001036	A0ACI8RN00
ENSG00000001036	A0ACI8TPK5
ENSG00000001036	A0ACI8TPM3
ENSG00000001036	A0ACI8TPP3
ENSG00000001036	A0ACI8TPY0
ENSG00000001036	A0ACI8VIX3
ENSG00000001036	A0ACI8VIZ1
ENSG00000001036	A0ACI8VJC0
ENSG00000001036	Q7Z6V2
ENSG00000001167	P23511
ENSG00000001167	A0ACI8QWH2
ENSG00000001167	A0ACI8QWZ1
ENSG00000001167	A0ACI8R7M1
ENSG00000001167	A0ACI8RQ37
ENSG00000001167	A0ACI8RXQ6
ENSG00000001167	A0ACI8RZK4
ENSG00000001167	A0ACI8S274
ENSG00000001167	A0ACI8S684
ENSG00000001167	A0ACI8SC68
ENSG00000001167	A0ACI8SPT7
ENSG00000001167	A0ACI8SPX4
ENSG00000001167	A0ACI8SPX5
ENSG00000001167	A0ACI8UWY9
ENSG00000001167	A0ACI8UXH1
ENSG00000001167	A0ACI8UXX0
ENSG00000001167	A0ACI8UY29
ENSG00000001167	A0ACI8UYY5
ENSG00000001167	A0ACI8UZ16
ENSG00000001167	A0ACI8UZ56
ENSG00000001461	Q6P499
ENSG00000001461	A0ACI8QJF2
ENSG00000001461	A0ACI8VJ00
ENSG00000001461	A6NN97
ENSG00000001461	H0Y4I9
ENSG00000001561	Q9Y6X5
ENSG00000001561	A0ACI8V7C6
ENSG00000001631	O00522
ENSG00000001631	A0A0C4DG23
ENSG00000001631	A0A8I5KQD8
ENSG00000001631	A0A8I5KQH3
ENSG00000001631	A0A8I5KRK7
ENSG00000001631	A0A8I5KUF9
ENSG00000001631	A0A8I5KVW5
ENSG00000001631	A0A8I5KVY1
ENSG00000001631	A0A8I5KVY4
ENSG00000001631	A0A8I5KW41
ENSG00000001631	A0A8I5KWG2
ENSG00000001631	A0A8I5KX77
ENSG00000001631	A0ACI8RMD0
ENSG00000001631	A0ACI8SGI5
ENSG00000001631	A0ACI8TVR8
ENSG00000001631	A0ACI8VEU0
ENSG00000001631	C9J718
ENSG00000001631	C9JD43
ENSG00000001631	C9JEW7
ENSG00000001631	C9JF32
ENSG00000001631	C9JIY2
ENSG00000001631	C9JJM9
ENSG00000001631	C9JXI9
ENSG00000002016	P43351
ENSG00000002016	A0ACI8R9Z8
ENSG00000002016	A0ACI8SD04
ENSG00000002016	A0ACI8TG98
ENSG00000002016	A0ACI8UPJ0
ENSG00000002016	A0ACI8UPK1
ENSG00000002016	A0ACI8UPL0
ENSG00000002016	E9PF95
ENSG00000002016	F5GX32
ENSG00000002016	F5GX95
ENSG00000002016	F5H1K5
ENSG00000002330	Q92934
ENSG00000002330	A0ACI8R2F3
ENSG00000002330	A8MXU7
ENSG00000002330	F5GYS3
ENSG00000002330	F5H1R6
ENSG00000002330	F5H3B1
ENSG00000002549	P28838
ENSG00000002549	A0ACI8UY10
ENSG00000002549	H0Y9Q1
ENSG00000002726	P19801
ENSG00000002726	C9J0G8
ENSG00000002726	C9J2J4
ENSG00000002746	Q76N89
ENSG00000002746	H7C3Q2
ENSG00000002822	Q9Y6D9
ENSG00000002822	A0ACI8P9G6
ENSG00000002822	A0ACI8Q1U7
ENSG00000002822	A0ACI8QBB0
