source_database	source_version	evidence_role	source_record_id	raw_identifier_a	raw_identifier_b	endpoint_a_status	endpoint_b_status	reason
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000002834:ENSG00000204918	ENSG00000002834	ENSG00000204918	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000002834:ENSG00000204919	ENSG00000002834	ENSG00000204919	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000002834:ENSG00000227151	ENSG00000002834	ENSG00000227151	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000002834:ENSG00000229665	ENSG00000002834	ENSG00000229665	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000002834:ENSG00000234278	ENSG00000002834	ENSG00000234278	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000004779:ENSG00000105327	ENSG00000004779	ENSG00000105327	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000004838:ENSG00000184258	ENSG00000004838	ENSG00000184258	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000005249:ENSG00000118507	ENSG00000005249	ENSG00000118507	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000005486:ENSG00000196312	ENSG00000005486	ENSG00000196312	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000005486:ENSG00000204183	ENSG00000005486	ENSG00000204183	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000006125:ENSG00000275895	ENSG00000006125	ENSG00000275895	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000008197:ENSG00000212724	ENSG00000008197	ENSG00000212724	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000008197:ENSG00000213417	ENSG00000008197	ENSG00000213417	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000011007:ENSG00000215271	ENSG00000011007	ENSG00000215271	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000011295:ENSG00000254827	ENSG00000011295	ENSG00000254827	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000011590:ENSG00000204918	ENSG00000011590	ENSG00000204918	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000011590:ENSG00000204919	ENSG00000011590	ENSG00000204919	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000011590:ENSG00000227151	ENSG00000011590	ENSG00000227151	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000011590:ENSG00000229665	ENSG00000011590	ENSG00000229665	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000011590:ENSG00000234278	ENSG00000011590	ENSG00000234278	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000012171:ENSG00000264343	ENSG00000012171	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000013293:ENSG00000251655	ENSG00000013293	ENSG00000251655	accepted	multiple_or_cross_species_targets_without_unique_human_mapping	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000016602:ENSG00000215790	ENSG00000016602	ENSG00000215790	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000019995:ENSG00000196459	ENSG00000019995	ENSG00000196459	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000019995:ENSG00000256060	ENSG00000019995	ENSG00000256060	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000019995:ENSG00000274611	ENSG00000019995	ENSG00000274611	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000019995:ENSG00000278299	ENSG00000019995	ENSG00000278299	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000021300:ENSG00000222047	ENSG00000021300	ENSG00000222047	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000021645:ENSG00000106331	ENSG00000021645	ENSG00000106331	multiple_reviewed_human_targets	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000023892:ENSG00000215271	ENSG00000023892	ENSG00000215271	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000024862:ENSG00000088986	ENSG00000024862	ENSG00000088986	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000024862:ENSG00000122180	ENSG00000024862	ENSG00000122180	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000024862:ENSG00000130307	ENSG00000024862	ENSG00000130307	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000024862:ENSG00000167779	ENSG00000024862	ENSG00000167779	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000028528:ENSG00000188100	ENSG00000028528	ENSG00000188100	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000028528:ENSG00000189090	ENSG00000028528	ENSG00000189090	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000028528:ENSG00000276430	ENSG00000028528	ENSG00000276430	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000033122:ENSG00000051128	ENSG00000033122	ENSG00000051128	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000033122:ENSG00000124588	ENSG00000033122	ENSG00000124588	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000033122:ENSG00000127527	ENSG00000033122	ENSG00000127527	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000033122:ENSG00000215271	ENSG00000033122	ENSG00000215271	multiple_or_cross_species_targets_without_unique_human_mapping	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000037965:ENSG00000264343	ENSG00000037965	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000042304:ENSG00000172530	ENSG00000042304	ENSG00000172530	unmapped_in_pinned_uniprot_release	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000048540:ENSG00000215271	ENSG00000048540	ENSG00000215271	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000049768:ENSG00000204918	ENSG00000049768	ENSG00000204918	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000049768:ENSG00000204919	ENSG00000049768	ENSG00000204919	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000049768:ENSG00000227151	ENSG00000049768	ENSG00000227151	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000049768:ENSG00000229665	ENSG00000049768	ENSG00000229665	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000049768:ENSG00000234278	ENSG00000049768	ENSG00000234278	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000050730:ENSG00000264343	ENSG00000050730	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000054116:ENSG00000196459	ENSG00000054116	ENSG00000196459	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000054116:ENSG00000256060	ENSG00000054116	ENSG00000256060	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000054965:ENSG00000204918	ENSG00000054965	ENSG00000204918	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000054965:ENSG00000204919	ENSG00000054965	ENSG00000204919	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000054965:ENSG00000222047	ENSG00000054965	ENSG00000222047	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000054965:ENSG00000227151	ENSG00000054965	ENSG00000227151	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000054965:ENSG00000229665	ENSG00000054965	ENSG00000229665	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000054965:ENSG00000234278	ENSG00000054965	ENSG00000234278	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000056277:ENSG00000215271	ENSG00000056277	ENSG00000215271	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000056558:ENSG00000161981	ENSG00000056558	ENSG00000161981	accepted	multiple_or_cross_species_targets_without_unique_human_mapping	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000061273:ENSG00000221972	ENSG00000061273	ENSG00000221972	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000061273:ENSG00000221995	ENSG00000061273	ENSG00000221995	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000062725:ENSG00000173678	ENSG00000062725	ENSG00000173678	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000062725:ENSG00000205238	ENSG00000062725	ENSG00000205238	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000063244:ENSG00000212643	ENSG00000063244	ENSG00000212643	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000063244:ENSG00000275895	ENSG00000063244	ENSG00000275895	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000063515:ENSG00000143933	ENSG00000063515	ENSG00000143933	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000063515:ENSG00000160014	ENSG00000063515	ENSG00000160014	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000063515:ENSG00000198668	ENSG00000063515	ENSG00000198668	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000063978:ENSG00000177125	ENSG00000063978	ENSG00000177125	accepted	multiple_or_cross_species_targets_without_unique_human_mapping	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000063978:ENSG00000204918	ENSG00000063978	ENSG00000204918	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000063978:ENSG00000204919	ENSG00000063978	ENSG00000204919	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000063978:ENSG00000227151	ENSG00000063978	ENSG00000227151	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000063978:ENSG00000229665	ENSG00000063978	ENSG00000229665	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000063978:ENSG00000234278	ENSG00000063978	ENSG00000234278	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000064199:ENSG00000118507	ENSG00000064199	ENSG00000118507	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000064218:ENSG00000204918	ENSG00000064218	ENSG00000204918	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000064218:ENSG00000204919	ENSG00000064218	ENSG00000204919	accepted	multiple_reviewed_human_targets	unresolved_endpoint
