pair_id,uniprot_a,uniprot_b,label,evidence_class,complex_group_id,pair_status,exclusion_reason
HUMAN_A0A087WUL8_A4D161,A0A087WUL8,A4D161,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_A8MQ03,A0A087WUL8,A8MQ03,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_A8MUN0,A0A087WUL8,A8MUN0,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O14633,A0A087WUL8,O14633,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O14817,A0A087WUL8,O14817,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O43184,A0A087WUL8,O43184,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O43559,A0A087WUL8,O43559,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O43609,A0A087WUL8,O43609,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O60259,A0A087WUL8,O60259,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O60336,A0A087WUL8,O60336,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O60896,A0A087WUL8,O60896,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O75716,A0A087WUL8,O75716,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O76082,A0A087WUL8,O76082,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O95864,A0A087WUL8,O95864,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O95897,A0A087WUL8,O95897,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_O95980,A0A087WUL8,O95980,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P00540,A0A087WUL8,P00540,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P00742,A0A087WUL8,P00742,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P01308,A0A087WUL8,P01308,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P02008,A0A087WUL8,P02008,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P05107,A0A087WUL8,P05107,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P05187,A0A087WUL8,P05187,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P06850,A0A087WUL8,P06850,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P07510,A0A087WUL8,P07510,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P08582,A0A087WUL8,P08582,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P08631,A0A087WUL8,P08631,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P08686,A0A087WUL8,P08686,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P09172,A0A087WUL8,P09172,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P09211,A0A087WUL8,P09211,1,direct_positive,,eligible,
HUMAN_A0A087WUL8_P09228,A0A087WUL8,P09228,1,direct_positive,,eligible,
