From	To
ENSG00000000457	Q8IZE3
ENSG00000000457	A0ACI8RLT7
ENSG00000000457	A0ACI8SG46
ENSG00000000457	A0ACI8VH11
ENSG00000000457	X6RHX1
ENSG00000000938	P09769
ENSG00000000938	A0ACI8PC72
ENSG00000000938	A0ACI8Q049
ENSG00000000938	A0ACI8QW34
ENSG00000000938	A0ACI8VMN1
ENSG00000000938	A0ACI8VMN8
ENSG00000000938	A0ACI8VN48
ENSG00000000938	Q5TGY6
ENSG00000002330	Q92934
ENSG00000002330	A0ACI8R2F3
ENSG00000002330	A8MXU7
ENSG00000002330	F5GYS3
ENSG00000002330	F5H1R6
ENSG00000002330	F5H3B1
ENSG00000003756	P52756
ENSG00000003756	A0ACI8P7B9
ENSG00000003756	A0ACI8P8S3
ENSG00000003756	A0ACI8PEJ0
ENSG00000003756	A0ACI8PJT1
ENSG00000003756	A0ACI8PSG6
ENSG00000003756	A0ACI8Q0P4
ENSG00000003756	A0ACI8Q9Z6
ENSG00000003756	A0ACI8QB32
ENSG00000003756	A0ACI8QI36
ENSG00000003756	A0ACI8RDS1
ENSG00000003756	A0ACI8RJG4
ENSG00000003756	A0ACI8TWY3
ENSG00000003756	A0ACI8TX25
ENSG00000003756	A0ACI8TX72
ENSG00000003756	A0ACI8TXJ6
ENSG00000003756	A0ACI8UQ90
ENSG00000003756	A0ACI8UQ92
ENSG00000003756	A0ACI8UQB8
ENSG00000003756	C9J9P7
ENSG00000003756	C9JFQ5
ENSG00000003756	C9JR02
ENSG00000003756	F8W910
ENSG00000003756	F8WE23
ENSG00000003756	H7BYM9
ENSG00000004142	Q9Y2S7
ENSG00000004142	A0ACI8QW38
ENSG00000004142	A0ACI8R6U9
ENSG00000004142	A0ACI8RCV0
ENSG00000004142	A0ACI8RGI5
ENSG00000004142	A0ACI8S5W5
ENSG00000004142	A0ACI8SBY9
ENSG00000004142	A0ACI8TGC8
ENSG00000004142	A0ACI8UTC5
ENSG00000004142	A0ACI8UTD6
ENSG00000004142	A0ACI8UTF0
ENSG00000004142	A0ACM8QGA3
ENSG00000004534	P78332
ENSG00000004534	A0ACI8PIE2
ENSG00000004534	A0ACI8RPL8
ENSG00000004534	A0ACI8UFL0
ENSG00000004534	C9J250
ENSG00000004534	C9JII0
ENSG00000004534	C9JMC8
ENSG00000004534	C9JSL1
ENSG00000004534	E9PGM9
ENSG00000004534	F8WCA5
ENSG00000004534	F8WCT0
ENSG00000004534	F8WF63
ENSG00000004660	Q8N5S9
ENSG00000004660	A0ACI8QJQ7
ENSG00000004660	J3KPJ3
ENSG00000004846	Q2M3G0
ENSG00000004846	H7C165
ENSG00000005801	O14628
ENSG00000005801	A0A087WT67
ENSG00000005801	A0ACI8R9N4
ENSG00000005801	A0ACI8TGC1
ENSG00000005801	A0ACI8TGC2
ENSG00000005801	A0ACI8U5F7
ENSG00000005801	A0ACI8U5K5
ENSG00000005801	C9JG37
ENSG00000005801	E9PIN4
ENSG00000005801	E9PIT0
ENSG00000005801	E9PIY8
ENSG00000005801	E9PLF5
ENSG00000005801	E9PLW9
ENSG00000005801	E9PMX5
ENSG00000005801	E9PNM0
ENSG00000005801	E9PPF8
ENSG00000005801	E9PSE6
ENSG00000005801	H0YDV1
ENSG00000005893	P13473
ENSG00000005893	A0A9L9PXQ4
ENSG00000005893	A0ACI8PJS7
ENSG00000005893	A0ACI8PUI3
ENSG00000005893	A0ACI8QK78
ENSG00000005893	A0ACI8R7H8
ENSG00000005893	A0ACI8RBJ5
ENSG00000005893	A0ACI8S0S8
ENSG00000005893	A0ACI8TV86
ENSG00000005893	A0ACI8UNL3
ENSG00000005893	A0ACI8UNM5
ENSG00000005893	A0ACI8UNQ1
ENSG00000005893	A0ACI8UNY8
ENSG00000005893	A0ACI8USA3
ENSG00000005893	A0ACI8USA5
ENSG00000005893	A0ACI8USZ5
ENSG00000005893	H0YCG2
ENSG00000006128	P20366
ENSG00000006534	P43353
ENSG00000006534	A0A087WTE0
ENSG00000006534	A0A087WU54
ENSG00000006534	A0A087WUF8
ENSG00000006534	A0A087X192
ENSG00000006534	A0A087X2D4
ENSG00000006534	A0ACI8RGC8
ENSG00000006534	A0ACI8RVV6
ENSG00000006659	Q8TCE9
ENSG00000006659	M0R163
ENSG00000008517	P24001
ENSG00000008517	A0ACI8S5Q2
ENSG00000008517	A0ACI8UKR0
ENSG00000008517	E9PIV2
ENSG00000008517	E9PK07
ENSG00000008517	F6XF19
ENSG00000008517	F8VSD2
ENSG00000008517	F8VVN4
ENSG00000008517	F8W1V1
ENSG00000010319	Q9NS98
ENSG00000010319	A0ACI8UIG0
ENSG00000010319	C9JXB2
ENSG00000010319	H7C5M7
ENSG00000010379	Q9NSD5
ENSG00000010379	A0ACI8QW40
ENSG00000010379	A0ACI8VFV6
ENSG00000010379	F5GZA5
ENSG00000010379	F5H5D9
ENSG00000010379	F5H6S9
ENSG00000019102	Q96IQ7
ENSG00000019102	A0ACI8R3V6
ENSG00000019102	A0ACI8RSA5
ENSG00000019102	A0ACI8SC35
ENSG00000019169	Q9UEW3
ENSG00000019169	A0ACI8PRT1
ENSG00000019169	A0ACI8Q2U2
ENSG00000019169	A0ACI8Q6W9
ENSG00000019169	A0ACI8QV27
ENSG00000019169	A0ACI8R3F8
ENSG00000019169	A0ACI8R581
ENSG00000019169	A0ACI8RG24
ENSG00000019169	A0ACI8RJJ0
ENSG00000019169	A0ACI8RTN8
ENSG00000019169	A0ACI8RZ22
ENSG00000019169	A0ACI8S5R0
ENSG00000019169	A0ACI8V0C4
ENSG00000019169	A0ACI8V0D5
ENSG00000019169	A0ACI8V0F2
ENSG00000019169	A0ACI8V0F9
ENSG00000019169	A0ACI8V0G0
ENSG00000019169	A0ACI8V0T1
ENSG00000019169	A0ACI8V3G7
ENSG00000019169	A0ACI8V3I1
ENSG00000019169	A0ACI8V3S5
ENSG00000019169	A0ACI8V457
ENSG00000019169	A0ACI8V5N0
ENSG00000019169	A0ACI8V5Q1
ENSG00000019169	C9JKT8
ENSG00000020426	P51948
ENSG00000020426	A0ACI8TKS5
ENSG00000020426	A0ACI8TKT1
ENSG00000020426	A0ACI8TKW3
ENSG00000020426	A0ACI8V5C4
ENSG00000020426	A0ACI8V5E0
ENSG00000020426	A0ACI8V5M2
ENSG00000020426	H0YJ92
ENSG00000020426	H0YJF2
ENSG00000026103	P25445
ENSG00000026103	A0A087WTM9
ENSG00000026103	A0A499FID1
ENSG00000026103	A0A8I5KWV4
ENSG00000026103	A0A8Q3SIR6
ENSG00000026103	A0A8Q3SIY4
ENSG00000026103	A0A8Q3SJI5
ENSG00000026103	A0A8Q3WLI5
ENSG00000026103	A0A8Q3WLK1
ENSG00000026103	A0A8Q3WLK6
ENSG00000026103	A0A8Q3WLL4
ENSG00000026103	A0A8Q3WM13
ENSG00000026103	A0A8V8TKJ0
ENSG00000026103	A0A8V8TKN4
ENSG00000026103	A0A8V8TM64
ENSG00000033011	Q9BT22
ENSG00000033011	A0A804HHW1
ENSG00000033011	A0A804HIG6
ENSG00000033011	A0A804HJE3
ENSG00000033011	A0A804HJL6
ENSG00000033011	A0A804HJQ1
ENSG00000033011	A0A804HKJ4
ENSG00000033011	A0A804HKK4
ENSG00000033011	A0A804HKU4
ENSG00000033011	A0A804HKX7
ENSG00000033011	A0A804HLB7
ENSG00000033011	A0ACI8QVT3
ENSG00000033011	A0ACI8RPR2
ENSG00000033011	A0ACI8S1X9
ENSG00000033011	A0ACI8U3G5
ENSG00000033011	A0ACI8U3J8
ENSG00000033011	A0ACI8U3K0
ENSG00000033011	A0ACI8V5L1
ENSG00000033011	A0ACI8V5L2
ENSG00000033011	K7EID2
ENSG00000033011	K7EPU3
ENSG00000033011	K7EQK1
ENSG00000034152	P46734
ENSG00000034152	A0ACI8SI78
ENSG00000034152	A0ACI8SI87
ENSG00000034152	A0ACI8SIC3
ENSG00000034152	A0ACI8SID0
ENSG00000034152	A0ACI8UNQ2
ENSG00000034152	E9PMA8
ENSG00000034152	E9PRZ0
ENSG00000034152	J3KRV4
ENSG00000034152	J3QL77
ENSG00000034152	J3QR49
ENSG00000034152	X6RB39
ENSG00000035115	Q96HL8
ENSG00000035115	A0ACI8QCX4
ENSG00000035115	A0ACI8SDT9
ENSG00000035115	A0ACI8TX78
ENSG00000035115	A0ACI8TXB2
ENSG00000035115	A0ACI8VN96
ENSG00000035115	A0ACI8VN97
ENSG00000035115	A0ACI8VNA7
ENSG00000035115	C9J4Z8
ENSG00000035115	C9JJI3
ENSG00000035115	F5GYQ6
ENSG00000035115	H7C1B8
ENSG00000035115	H7C499
ENSG00000035115	S4R3I7
ENSG00000037474	Q08J23
ENSG00000037474	A0A140T9Y7
ENSG00000037474	A0A140T9Z1
ENSG00000037474	A0ACI8QWE4
ENSG00000037474	A0ACI8QWE9
ENSG00000037474	A0ACI8QX22
ENSG00000037474	A0ACI8QXA3
ENSG00000037474	A0ACI8QXM9
ENSG00000037474	A0ACI8RDL5
ENSG00000037474	A0ACI8RHA3
ENSG00000037474	A0ACI8SAU4
ENSG00000037474	A0ACI8SC80
ENSG00000037474	A0ACI8SE37
ENSG00000037474	A0ACI8U0I8
