source_database	source_version	evidence_role	namespace	raw_identifier	mapping_query_id	isoform_specific	occurrence_count	all_uniprot_targets	reviewed_human_targets	resolved_accession	resolution_status	resolution_reason
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000021645	ENSG00000021645	false	1	A0A0A0MR89;A0A0C4DGK4;A0A0U1RQC5;A0A0U1RRJ0;A0A7I2V2B1;A0A7I2YQT0;G3V247;G3V4R9;H0YJL2;Q9HDB5;Q9Y4C0	Q9HDB5;Q9Y4C0		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000024862	ENSG00000024862	false	4	A0ACI8R8X3;A0ACI8RYY1			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000033122	ENSG00000033122	false	4	A0A075B6E9;B1AKT2;K7ELH5;V9GY23;V9GYE1;V9GZ42			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000042304	ENSG00000042304	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000084734	ENSG00000084734	false	1	A0A0C4DFN2;A0ACI8PJG5;A0ACI8PJG9;A0ACI8PM83;A0ACI8PMB7;A0ACI8Q0M5;A0ACI8Q865;A0ACI8RI76;A0ACI8RM32;A0ACI8RS38;H7C1B4;H7C4D3			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000101307	ENSG00000101307	false	3	A0ACI8VM80;A0ACI8VP60;H3BQ21;H3BRP9;H3BSK5;H3BTT9;H3BU43;H3BUW0;H9KV29;O00241;Q5TFQ8	O00241;Q5TFQ8		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000105327	ENSG00000105327	false	8	Q96PG8;Q9BXH1	Q96PG8;Q9BXH1		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000105501	ENSG00000105501	false	3				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000106123	ENSG00000106123	false	12	A0A087WTE3;A0A087WYP8;A0A087WZL4;A0ACI8Q738;A0ACI8RK75;A0ACI8TX74;A0ACI8TXA4;A0ACI8U406;A0ACI8U426;F8WCM8			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000110680	ENSG00000110680	false	1	P01258;P06881	P01258;P06881		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000112096	ENSG00000112096	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000118412	ENSG00000118412	false	2	A0A087WTW5;A0A096LP21			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000118507	ENSG00000118507	false	9	A0A804HI88;A0A9L9PYJ6;A0ACI8QA17;F5GXD1;F5H4P9;J3KN37;O43687;Q9P0M2	O43687;Q9P0M2		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000120802	ENSG00000120802	false	3	A0ACI8P727;G5E972;H0YJH7;P42166;P42167	P42166;P42167		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000125122	ENSG00000125122	false	4				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000125462	ENSG00000125462	false	1				quarantine	unmapped_in_pinned_uniprot_release
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000127922	ENSG00000127922	false	1	A0A087WUG5;A0A087WXB9;A0A087WXG9;A0A087WYU0;A0A087X1V0;A0A087X261;A0A096LP17;A0A096LP28;A0ACI8TDW6;A0ACI8TDX3;A0ACI8TE20;F2Z2L7;F2Z2N6;F2Z309;P60896;Q6ZVN7	P60896;Q6ZVN7		quarantine	multiple_reviewed_human_targets
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000130363	ENSG00000130363	false	6	A0A0C4DFU3;A0A0C4DG29;A0ACI8RSQ2			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
HuRI	portal_2020-03-09	positive_evidence	Ensembl	ENSG00000137700	ENSG00000137700	false	1	U3KPU7;U3KQL4;U3KQS2			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
