complex_id,pdb_id,biological_assembly_id,pdb_release_date,experimental_method,resolution_angstrom,assembly_details,assembly_method_details,protein_chain_mapping_json,protein_chain_entity_mapping_json,uniprot_accessions,entity_descriptions_json,entity_lengths_json,total_residues,interface_residues,buried_surface_area,reference_structure,reference_structure_sha256,source_url,retrieved_at,selection_rule_version,automated_eligibility,manual_review_status,exclusion_reasons
12EM_assembly_1,12EM,1,2026-08-26,X-ray,2.07,author_and_software_defined_assembly,PISA,"{""A"":""Q6Y288"",""B"":""P07996""}","{""A"":""1"",""B"":""2""}",P07996;Q6Y288,"{""1"":""Beta-1,3-glucosyltransferase"",""2"":""Thrombospondin-1""}","{""1"":433,""2"":61}",494,55.0,897.2075452130364,references/12EM-assembly1.cif,fee7f2937b2fc978e550dc4cba80226b1cd66073e8af8390e97250c5e296ce1b,https://files.rcsb.org/download/12EM-assembly1.cif,2026-09-15T06:57:39.099039+00:00,rcsb_human_heteromer_v0.1,true,pending,
13IB_assembly_1,13IB,1,2026-09-02,EM,2.68,author_and_software_defined_assembly,,"{""A"":""P38435"",""B"":""P02818""}","{""A"":""1"",""B"":""2""}",P02818;P38435,"{""1"":""Vitamin K-dependent gamma-carboxylase"",""2"":""Osteocalcin""}","{""1"":758,""2"":100}",858,119.0,2351.9419059693764,references/13IB-assembly1.cif,92887e88956014abd779861e7a20ae4b23d89e704381e6754305a0ba714d667a,https://files.rcsb.org/download/13IB-assembly1.cif,2026-09-15T06:57:39.099039+00:00,rcsb_human_heteromer_v0.1,true,pending,
21EE_assembly_1,21EE,1,2026-08-12,X-ray,1.34,author_and_software_defined_assembly,PISA,{},{},A8MW92;Q16695,"{""1"":""PHD finger protein 20-like protein 1"",""2"":""Histone H3.1t""}","{""1"":80,""2"":15}",95,16.0,316.5585599871048,,,https://files.rcsb.org/download/21EE-assembly1.cif,2026-09-15T06:57:39.099039+00:00,rcsb_human_heteromer_v0.1,false,not_applicable,buried_surface_area_below_500;entity_2_shorter_than_30_residues;interface_has_fewer_than_20_residues
23AG_assembly_1,23AG,1,2026-08-12,X-ray,1.61,author_and_software_defined_assembly,PISA,{},{},P0C6L3;Q9UIF9,"{""1"":""Bromodomain adjacent to zinc finger domain protein 2A"",""2"":""Small delta antigen""}","{""1"":104,""2"":11}",115,25.0,348.87279478300724,,,https://files.rcsb.org/download/23AG-assembly1.cif,2026-09-15T06:57:39.099039+00:00,rcsb_human_heteromer_v0.1,false,not_applicable,buried_surface_area_below_500;entity_2_not_unambiguously_human;entity_2_shorter_than_30_residues
9PZZ_assembly_1,9PZZ,1,2026-08-26,X-ray,1.56,author_and_software_defined_assembly,PISA,{},{},Q7LC44,"{""1"":""Fluorescent nanobody H11"",""2"":""Activity-regulated cytoskeleton-associated protein""}","{""1"":135,""2"":75}",210,50.0,1064.7686481352496,,,https://files.rcsb.org/download/9PZZ-assembly1.cif,2026-09-15T06:57:39.099039+00:00,rcsb_human_heteromer_v0.1,false,not_applicable,entity_1_antibody_like;entity_1_does_not_have_one_uniprot;entity_1_not_unambiguously_human
9SQK_assembly_1,9SQK,1,2026-09-02,X-ray,1.7,author_defined_assembly,,{},{},Q9Y294,"{""1"":""Histone chaperone ASF1A"",""2"":""cr17""}","{""1"":157,""2"":18}",175,40.0,933.314040668904,,,https://files.rcsb.org/download/9SQK-assembly1.cif,2026-09-15T06:57:39.099039+00:00,rcsb_human_heteromer_v0.1,false,not_applicable,entity_2_does_not_have_one_uniprot;entity_2_shorter_than_30_residues
9TLW_assembly_1,9TLW,1,2026-08-19,X-ray,2.8,author_defined_assembly,,{},{},Q07820,"{""1"":""Sc-apCC-2-MCL-1-4"",""2"":""Induced myeloid leukemia cell differentiation protein Mcl-1""}","{""1"":75,""2"":156}",231,49.0,932.3572495911785,,,https://files.rcsb.org/download/9TLW-assembly1.cif,2026-09-15T06:57:39.099039+00:00,rcsb_human_heteromer_v0.1,false,not_applicable,entity_1_does_not_have_one_uniprot;entity_1_not_unambiguously_human
9TLW_assembly_2,9TLW,2,2026-08-19,X-ray,2.8,author_defined_assembly,,{},{},Q07820,"{""1"":""Sc-apCC-2-MCL-1-4"",""2"":""Induced myeloid leukemia cell differentiation protein Mcl-1""}","{""1"":75,""2"":156}",231,51.0,991.3692740846751,,,https://files.rcsb.org/download/9TLW-assembly2.cif,2026-09-15T06:57:39.099039+00:00,rcsb_human_heteromer_v0.1,false,not_applicable,entity_1_does_not_have_one_uniprot;entity_1_not_unambiguously_human
9WB2_assembly_2,9WB2,2,2026-08-19,X-ray,1.95,author_and_software_defined_assembly,PISA,{},{},P03372,"{""1"":""Estrogen receptor"",""2"":""GRIP Peptide""}","{""1"":254,""2"":8}",262,21.0,475.77839386539284,,,https://files.rcsb.org/download/9WB2-assembly2.cif,2026-09-15T06:57:39.099039+00:00,rcsb_human_heteromer_v0.1,false,not_applicable,buried_surface_area_below_500;entity_2_does_not_have_one_uniprot;entity_2_shorter_than_30_residues
9XW0_assembly_1,9XW0,1,2026-08-26,X-ray,2.4,author_and_software_defined_assembly,PISA,{},{},Q9UKE5,"{""1"":""TRAF2 and NCK-interacting protein kinase"",""2"":""peptide TK7""}","{""1"":306,""2"":16}",322,41.0,732.0705693239205,,,https://files.rcsb.org/download/9XW0-assembly1.cif,2026-09-15T06:57:39.099039+00:00,rcsb_human_heteromer_v0.1,false,not_applicable,entity_2_does_not_have_one_uniprot;entity_2_not_unambiguously_human;entity_2_shorter_than_30_residues
