source_database	source_version	evidence_role	namespace	raw_identifier	mapping_query_id	isoform_specific	occurrence_count	all_uniprot_targets	reviewed_human_targets	resolved_accession	resolution_status	resolution_reason
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000000457	ENSG00000000457	false	3	A0ACI8RLT7;A0ACI8SG46;A0ACI8VH11;Q8IZE3;X6RHX1	Q8IZE3	Q8IZE3	accepted	unique_reviewed_human_target
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000000938	ENSG00000000938	false	2	A0ACI8PC72;A0ACI8Q049;A0ACI8QW34;A0ACI8VMN1;A0ACI8VMN8;A0ACI8VN48;P09769;Q5TGY6	P09769	P09769	accepted	unique_reviewed_human_target
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000002330	ENSG00000002330	false	6	A0ACI8R2F3;A8MXU7;F5GYS3;F5H1R6;F5H3B1;Q92934	Q92934	Q92934	accepted	unique_reviewed_human_target
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000003756	ENSG00000003756	false	3	A0ACI8P7B9;A0ACI8P8S3;A0ACI8PEJ0;A0ACI8PJT1;A0ACI8PSG6;A0ACI8Q0P4;A0ACI8Q9Z6;A0ACI8QB32;A0ACI8QI36;A0ACI8RDS1;A0ACI8RJG4;A0ACI8TWY3;A0ACI8TX25;A0ACI8TX72;A0ACI8TXJ6;A0ACI8UQ90;A0ACI8UQ92;A0ACI8UQB8;C9J9P7;C9JFQ5;C9JR02;F8W910;F8WE23;H7BYM9;P52756	P52756	P52756	accepted	unique_reviewed_human_target
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000004142	ENSG00000004142	false	3	A0ACI8QW38;A0ACI8R6U9;A0ACI8RCV0;A0ACI8RGI5;A0ACI8S5W5;A0ACI8SBY9;A0ACI8TGC8;A0ACI8UTC5;A0ACI8UTD6;A0ACI8UTF0;A0ACM8QGA3;Q9Y2S7	Q9Y2S7	Q9Y2S7	accepted	unique_reviewed_human_target
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000004534	ENSG00000004534	false	2	A0ACI8PIE2;A0ACI8RPL8;A0ACI8UFL0;C9J250;C9JII0;C9JMC8;C9JSL1;E9PGM9;F8WCA5;F8WCT0;F8WF63;P78332	P78332	P78332	accepted	unique_reviewed_human_target
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000004660	ENSG00000004660	false	3	A0ACI8QJQ7;J3KPJ3;Q8N5S9	Q8N5S9	Q8N5S9	accepted	unique_reviewed_human_target
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000004846	ENSG00000004846	false	2	H7C165;Q2M3G0	Q2M3G0	Q2M3G0	accepted	unique_reviewed_human_target
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000005801	ENSG00000005801	false	1	A0A087WT67;A0ACI8R9N4;A0ACI8TGC1;A0ACI8TGC2;A0ACI8U5F7;A0ACI8U5K5;C9JG37;E9PIN4;E9PIT0;E9PIY8;E9PLF5;E9PLW9;E9PMX5;E9PNM0;E9PPF8;E9PSE6;H0YDV1;O14628	O14628	O14628	accepted	unique_reviewed_human_target
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000005893	ENSG00000005893	false	3	A0A9L9PXQ4;A0ACI8PJS7;A0ACI8PUI3;A0ACI8QK78;A0ACI8R7H8;A0ACI8RBJ5;A0ACI8S0S8;A0ACI8TV86;A0ACI8UNL3;A0ACI8UNM5;A0ACI8UNQ1;A0ACI8UNY8;A0ACI8USA3;A0ACI8USA5;A0ACI8USZ5;H0YCG2;P13473	P13473	P13473	accepted	unique_reviewed_human_target
